"src_subject_id","start_time","end_time","browser","index","first_half_probabilities","second_half_probabilities","deck_color","deck_position","deck_probabilities","deck_contingencies","response_color","key_press","response_position","response_probability","reward_type","trial_type","rt","reward_tally","exclusion_reason"
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",1,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",50,"middle","low","False","False",960,-50,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",2,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","black",51,"right","medium","False","False",1556,-100,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",3,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",49,"left","high","True","False",349,0,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",4,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",49,"left","high","True","False",581,100,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",5,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",49,"left","high","False","False",447,50,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",6,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",50,"middle","low","False","False",537,0,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",7,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","black",51,"right","medium","True","False",267,100,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",8,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","black",51,"right","medium","True","False",383,200,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",9,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","black",51,"right","medium","False","False",585,150,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",10,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",50,"middle","low","False","False",310,100,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",11,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",49,"left","high","True","False",326,200,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",12,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",49,"left","high","True","False",612,300,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",13,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",49,"left","high","True","False",429,400,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",14,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",49,"left","high","True","False",425,500,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",15,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",49,"left","high","True","False",551,600,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",16,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",49,"left","high","True","False",510,700,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",17,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",49,"left","high","True","False",457,800,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",18,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",49,"left","high","True","False",397,900,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",19,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",49,"left","high","True","True",316,1000,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",20,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","blue",49,"left","low","False","False",342,950,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",21,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","black",51,"right","medium","True","False",462,1050,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",22,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","black",51,"right","medium","True","False",403,1150,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",23,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","black",51,"right","medium","True","False",472,1250,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",24,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","black",51,"right","medium","False","False",588,1200,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",25,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",50,"middle","high","True","False",259,1300,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",26,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",50,"middle","high","True","False",588,1400,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",27,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",50,"middle","high","True","False",668,1500,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",28,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",50,"middle","high","True","False",320,1600,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",29,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",50,"middle","high","True","False",329,1700,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",30,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",50,"middle","high","True","False",353,1800,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",31,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",50,"middle","high","True","False",397,1900,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",32,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",50,"middle","high","True","False",312,2000,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",33,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",50,"middle","high","True","True",698,2100,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",34,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","red",50,"middle","medium","True","False",454,2200,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",35,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","red",50,"middle","medium","False","False",741,2150,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",36,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","blue",49,"left","high","True","False",297,2250,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",37,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","blue",49,"left","high","False","False",457,2200,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",38,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","black",51,"right","low","False","False",202,2150,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",39,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","red",50,"middle","medium","False","False",343,2100,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",40,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","blue",49,"left","high","True","False",282,2200,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",41,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","blue",49,"left","low","True","False",404,2300,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",42,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","blue",49,"left","low","False","False",283,2250,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",43,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","black",51,"right","medium","False","False",309,2200,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",44,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","blue",49,"left","low","False","False",70,2150,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",45,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",50,"middle","high","True","False",168,2250,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",46,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",50,"middle","high","True","False",331,2350,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",47,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",50,"middle","high","True","False",244,2450,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",48,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",50,"middle","high","True","False",336,2550,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",49,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",50,"middle","high","True","False",279,2650,NA
"A2T007HZK66WM","Thu Jan 30 2020 08:58:18 GMT-0500 (Eastern Standard Time)","Thu Jan 30 2020 09:04:51 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",50,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",50,"middle","high","True","False",296,2750,NA
